Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link,salary_clean,salary_norm,exp_clean,exp_norm,location_clean,loc_mumbai,loc_bengaluru,loc_pune,loc_hyderabad,loc_gurugram,loc_chennai,loc_kolkata,loc_coimbatore,loc_noida,loc_ahmedabad
Advanced Project Engr,Honeywell,8-14 Yrs,Not disclosed,Pune,"Configuration experience working on control systems, DCS / PLC / Safety Systems. Advanc...","fabrication,engineering services,plant operations,aerospace,process control,test design,customer support,petrochemical",1 Day Ago,https://www.naukri.com/job-listings-advanced-project-engr-honeywell-pune-8-to-14-years-181224503958,12.218579234972678,0.19549726775956283,11.0,0.44,pune,0,0,1,0,0,0,0,0,0,0
Operational Buyer Planner,Philips,5-8 Yrs,Not disclosed,Pune,Inventory analysis and policy definition to secure material availability against minimu...,"order management,supply chain,supply chain management,inventory analysis,operational excellence,sales operations,stock management,production planning",1 Day Ago,https://www.naukri.com/job-listings-operational-buyer-planner-philips-india-limited-pune-5-to-8-years-181224503447,12.218579234972678,0.19549726775956283,6.5,0.26,pune,0,0,1,0,0,0,0,0,0,0
Solution Engineer - Substation Protection and Control Engineer,Siemens,4-7 Yrs,Not disclosed,Pune,". Critical thinking, reasoning and problem solving are an essential part of this positi...","substation,rtu,interpersonal skills,autocad,control system,single line diagram,siemens,control panel",1 Day Ago,https://www.naukri.com/job-listings-solution-engineer-substation-protection-and-control-engineer-siemens-limited-pune-4-to-7-years-181224502576,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
"Lead Consultant, Senior Quality Analyst SFDC",Genpact,5-10 Yrs,Not disclosed,Pune,*Genpact (NYSE: G) is a global professional services and solutions firm delivering outc...,"erp,automation,business analysis,coding,enterprise applications,agile,php,scrum",1 Day Ago,https://www.naukri.com/job-listings-lead-consultant-senior-quality-analyst-sfdc-headstrong-genpact-pune-5-to-10-years-181224500429,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
EY GDS - AI and DATA - GCP Data Engineer - GIG,EY,3-7 Yrs,Not disclosed,Pune,. Proficiency in Google Cloud Platform services and tools like Google Cloud Storage (GC...,"supply chain,assurance,analytical,consulting,agile,healthcare,data processing,test cases",1 Day Ago,https://www.naukri.com/job-listings-ey-gds-ai-and-data-gcp-data-engineer-gig-ernst-young-pune-3-to-7-years-181224500232,12.218579234972678,0.19549726775956283,5.0,0.2,pune,0,0,1,0,0,0,0,0,0,0
EY - GDS Consulting - AI and DATA - GCP - Senior,EY,3-7 Yrs,Not disclosed,Pune,"At EY, you ll have the chance to build a career as unique as you are, with the global...","supply chain,assurance,data migration,publishing,linux,consulting,healthcare,cmmi",1 Day Ago,https://www.naukri.com/job-listings-ey-gds-consulting-ai-and-data-gcp-senior-ernst-young-pune-3-to-7-years-181224500220,12.218579234972678,0.19549726775956283,5.0,0.2,pune,0,0,1,0,0,0,0,0,0,0
Director - Information Security,Icertis,11-18 Yrs,Not disclosed,Remote,"Sentinel is a MUST HAVE skillWith 10+ years of experience in cybersecurity, incident re...","azure security,security operations center,incident response,cyber security,azure sentinel,siem tools,threat hunting,security operations",Today,https://www.naukri.com/job-listings-director-information-security-icertis-pune-11-to-18-years-181224015253,12.218579234972678,0.19549726775956283,14.5,0.58,remote,0,0,0,0,0,0,0,0,0,0
Technical Senior Sales Officer : Floor Coating,2coms,2-7 Yrs,Not disclosed,Pune,. Achievement of month to month Sales objectives with desired business profitability. ....,"erection,transformers,line,technical sales,business development,market research,ht,sales",1 Day Ago,https://www.naukri.com/job-listings-technical-senior-sales-officer-floor-coating-2coms-pune-2-to-7-years-181224013950,12.218579234972678,0.19549726775956283,4.5,0.18,pune,0,0,1,0,0,0,0,0,0,0
Embedded Software Engineer,Larsen & Toubro (L&T),5-8 Yrs,Not disclosed,Pune,Role & responsibilities Looking for candidates with Hands on experience in Embedded C.L...,"embedded c,simulink,matlab,software,embedded systems,embedded system design,c,embedded software",1 Day Ago,https://www.naukri.com/job-listings-embedded-software-engineer-larsen-toubro-l-t-pune-5-to-8-years-181224008519,12.218579234972678,0.19549726775956283,6.5,0.26,pune,0,0,1,0,0,0,0,0,0,0
Urgent Requirement For Hvac Design Manager- MEP Design,Lodha Group,6-11 Yrs,Not disclosed,Pune,"Candidate should meet below Job description, Good understanding of local and internati...","plumbing,autocad,mep design,hvac design,requirements,management,design,hvac",1 Day Ago,https://www.naukri.com/job-listings-urgent-requirement-for-hvac-design-manager-mep-design-lodha-group-pune-6-to-11-years-181224006622,12.218579234972678,0.19549726775956283,8.5,0.34,pune,0,0,1,0,0,0,0,0,0,0
Process Developer- Life Insurance Transactions,Genpact,2-5 Yrs,Not disclosed,Pune,"Graduation in any stream except BTech and Technical Graduation & Law. Furthermore, plea...","insurance,accounts payable,analytical,process development,customer service,verbal communication,pay,general accounting",1 Day Ago,https://www.naukri.com/job-listings-process-developer-life-insurance-transactions-genpact-pune-2-to-5-years-181224000018,12.218579234972678,0.19549726775956283,3.5,0.14,pune,0,0,1,0,0,0,0,0,0,0
Application Lead,Accenture,5-10 Yrs,Not disclosed,Pune,Minimum 5 year(s) of experience is required. Educational Qualification : Engineering gr...,"informatica powercenter,data modeling,etl,data integration,informatica mdm,c#,asp.net mvc,oracle",30 Days Ago,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-pune-5-to-10-years-181124919772,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Technology Architect,Accenture,7-11 Yrs,Not disclosed,Pune,"Provide input into final decisions regarding hardware, network products, system softwar...","java sdk,ssi,node.js,java,aws,tagging,python,aws iam",30 Days Ago,https://www.naukri.com/job-listings-technology-architect-accenture-solutions-pvt-ltd-pune-7-to-11-years-181124918762,12.218579234972678,0.19549726775956283,9.0,0.36,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,5-10 Yrs,Not disclosed,Pune,Stay updated with the latest advancements in MuleSoft Anypoint Platform and related tec...,"mulesoft anypoint,mulesoft anypoint platform,software development life cycle,api,agile methodology,rest,web services,hibernate",30 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-5-to-10-years-181124918093,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
SAP ABAP Developer,Infosys,11-20 Yrs,Not disclosed,Pune,Job TitleSAP ABAP Developer Responsibilities A day in the life of an InfoscionAs part...,"web services,odata,sap abap object oriented,capm,sap abap,adobe forms,fiori application,sap s hana",30+ Days Ago,https://www.naukri.com/job-listings-sap-abap-developer-infosys-limited-pune-11-to-20-years-181124911914,12.218579234972678,0.19549726775956283,15.5,0.62,pune,0,0,1,0,0,0,0,0,0,0
Application Lead,Accenture,7-12 Yrs,Not disclosed,Pune,"Project Role :Application LeadProject Role Description :Lead the effort to design, buil...","api management,api,mulesoft anypoint,mulesoft anypoint platform,anypoint studio,web services,tibco bw,sql",2 Days Ago,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-pune-7-to-12-years-171224915894,12.218579234972678,0.19549726775956283,9.5,0.38,pune,0,0,1,0,0,0,0,0,0,0
Business and Integration Practitioner,Accenture,5-10 Yrs,Not disclosed,Pune,Educational Qualification : 15 years full time education. Summary :As a Business and In...,"back office operations,customer service,java,business process management,finance,pega prpc,prpc,project management",2 Days Ago,https://www.naukri.com/job-listings-business-and-integration-practitioner-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224915889,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
GN - Strategy - MC - SC&O - SC Digital Core Oracle Consultant,Accenture,4-8 Yrs,Not disclosed,Pune,"Qualifications . MBA or Master s degree in Industrial Engineering, Operations Managemen...","management consulting,digital marketing,project management,digital strategy,business analysis,strategy consulting,product management,social media marketing",2 Days Ago,https://www.naukri.com/job-listings-gn-strategy-mc-sc-o-sc-digital-core-oracle-consultant-accenture-solutions-pvt-ltd-pune-4-to-8-years-171224915867,12.218579234972678,0.19549726775956283,6.0,0.24,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,7-12 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","oracle,oracle forms,plsql,database design,database design and development,python,performance tuning,data warehousing",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-7-to-12-years-171224915793,12.218579234972678,0.19549726775956283,9.5,0.38,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,5-10 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","cpq cloud,oracle,application development,oracle cpq,code review,rest,css,web services",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224915787,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,5-10 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","data management,sql queries,information management,database management,software development methodologies,c#,python,css",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224915786,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,7-12 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","data management,software development,information management,eim,software development life cycle,c#,rest,python",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-7-to-12-years-171224915785,12.218579234972678,0.19549726775956283,9.5,0.38,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,3-8 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","c++,software development,software development life cycle,database management,java,c#,css,python",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224915776,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,5-10 Yrs,Not disclosed,Pune,Educational Qualification : 15 years full time education. Summary :As an Application De...,"ui,sap abap development,sap fiori,sap hana,sap abap,bdc,css,sap",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224915729,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,3-8 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","css,oracle e-business suite,javascript,software development life cycle,oracle database,c#,oracle,software development",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224915721,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Full Stack Engineer,Accenture,3-8 Yrs,Not disclosed,Pune,Project Role :Full Stack EngineerProject Role Description :Responsible for developing a...,"git,html,rest,javascript,angular,css,fullstack development,web application",2 Days Ago,https://www.naukri.com/job-listings-full-stack-engineer-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224915712,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Application Lead,Accenture,7-12 Yrs,Not disclosed,Pune,"Project Role Description:Lead the effort to design, build and configure applications, a...","java,devops,j2ee,full stack,troubleshooting,cloud migration,apache tomcat,microservices",2 Days Ago,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-pune-7-to-12-years-171224915697,12.218579234972678,0.19549726775956283,9.5,0.38,pune,0,0,1,0,0,0,0,0,0,0
Application Lead,Accenture,5-10 Yrs,Not disclosed,Pune,"Project Role :Application LeadProject Role Description :Lead the effort to design, buil...","reliability,site reliability engineering,application development,cloud infrastructure,aws,kubernetes,python,microsoft azure",2 Days Ago,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224915695,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,5-10 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","oracle,oracle cloud,application development,code review,oracle peoplesoft financials,python,accounts payable,gl",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224915687,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,3-8 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","css,software development,oracle e-business suite,sql,database management,oracle,software testing,siebel configuration",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224915666,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,5-10 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","warehouse management,data warehousing,oracle cloud,data warehousing concepts,etl,rest,python,project management",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224915660,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Cloud Native Architect,Accenture,3-8 Yrs,Not disclosed,Pune,Project Role :Cloud Native ArchitectProject Role Description :Design and develop cloud ...,"docker,devops,bigquery,cloud native architecture,design principles,container,kubernetes,serverless",2 Days Ago,https://www.naukri.com/job-listings-cloud-native-architect-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224915651,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,7-12 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","oracle apps technical,application development,oracle cloud procurement,oracle fusion middleware,middleware,c#,cloud services,oracle",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-7-to-12-years-171224915650,12.218579234972678,0.19549726775956283,9.5,0.38,pune,0,0,1,0,0,0,0,0,0,0
Software Development Engineer,Accenture,5-10 Yrs,Not disclosed,Pune,"Project Role :Software Development EngineerProject Role Description :Analyze, design, c...","sap,performance tuning,system architecture,troubleshooting,sap basis administration,c#,algorithms,python",2 Days Ago,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224915644,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,5-10 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","amazon redshift,data warehousing,database management,data warehousing concepts,aws,schema,python,css",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224915631,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,7-12 Yrs,Not disclosed,Pune,Educational Qualification : 15 years full time education. Summary :As an Application De...,"sap abap development,sap fiori,sap hana,sap abap,sap cloud,sap upgrade,sap,oracle",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-7-to-12-years-171224915616,12.218579234972678,0.19549726775956283,9.5,0.38,pune,0,0,1,0,0,0,0,0,0,0
Technology Support Engineer,Accenture,3-8 Yrs,Not disclosed,Pune,Educational Qualification : 15 years full time education. Summary :As a Technology Supp...,"machine learning,solution integration,machine learning algorithms,statistics,data munging,python,data analysis,power bi",2 Days Ago,https://www.naukri.com/job-listings-technology-support-engineer-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224915604,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,7-12 Yrs,Not disclosed,Pune,Educational Qualification : 1 Min 15 years full time education. Summary :As an Applicat...,"oracle,software development,epbcs,software testing,budgeting,python,hyperion essbase,unit testing",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-7-to-12-years-171224915586,12.218579234972678,0.19549726775956283,9.5,0.38,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,7-12 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","data services,sap business objects data services,etl,etl process,sap businessobjects,python,sap,oracle",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-7-to-12-years-171224915561,12.218579234972678,0.19549726775956283,9.5,0.38,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,3-8 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","css,software development,sql,database management,sap hybris commerce,sap,hybris,jsp",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224915530,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Quality Engineer (Tester),Accenture,2-7 Yrs,Not disclosed,Pune,Project Role :Quality Engineer (Tester)Project Role Description :Enables full stack sol...,"regression testing,test automation framework,devops,aws,api testing,software testing,test case execution,test cases",2 Days Ago,https://www.naukri.com/job-listings-quality-engineer-tester-accenture-solutions-pvt-ltd-pune-2-to-7-years-171224915514,12.218579234972678,0.19549726775956283,4.5,0.18,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,3-8 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","oracle,oracle e-business suite,sql,database creation,troubleshooting,c#,css,web services",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224915503,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Data Platform Engineer,Accenture,3-8 Yrs,Not disclosed,Pune,Project Role :Data Platform EngineerProject Role Description :Assists with the data pla...,"google,data engineering,cloud platform,cloud storage,platform architecture,python,google cloud services,cloud spanner",2 Days Ago,https://www.naukri.com/job-listings-data-platform-engineer-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224915500,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,2-7 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","data warehousing,data warehouse etl testing,sql,etl testing,data modeling,sql queries,software testing,datastage",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-2-to-7-years-171224915478,12.218579234972678,0.19549726775956283,4.5,0.18,pune,0,0,1,0,0,0,0,0,0,0
Business Architect,Accenture,7-12 Yrs,Not disclosed,Pune,Educational Qualification : 15 years full time education. Summary :As a Business Archit...,"business process modeling,oracle,business case development,jd edwards enterpriseone,business architecture,erp,enterprise architecture,business analysis",2 Days Ago,https://www.naukri.com/job-listings-business-architect-accenture-solutions-pvt-ltd-pune-7-to-12-years-171224915467,12.218579234972678,0.19549726775956283,9.5,0.38,pune,0,0,1,0,0,0,0,0,0,0
Application Lead,Accenture,3-8 Yrs,Not disclosed,Pune,Educational Qualification : 15 years full time education. Summary :As a nCino Architect...,"ncino,software development life cycle,salesforce ecosystem,web development,agile methodology,css,oracle,salesforce lightning",2 Days Ago,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224915428,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Software Development Engineer,Accenture,5-10 Yrs,Not disclosed,Pune,"Project Role :Software Development EngineerProject Role Description :Analyze, design, c...","sap,software development,sap security,java,sap grc,rest,visualforce,css",2 Days Ago,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224915391,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,7-12 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","sap,javascript,sapui5,web development,sap abap,css,software testing,odata services",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-7-to-12-years-171224915387,12.218579234972678,0.19549726775956283,9.5,0.38,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,5-10 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","rpa,automation anywhere,application development,project delivery,code review,c#,rest,python",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224915378,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Application Lead,Accenture,7-12 Yrs,Not disclosed,Pune,Educational Qualification : 15 years full time education. Summary :As an Application Le...,"sap c4c sdk,pdi,sap abap development,sap integration,sap abap,sap,data dictionary,adobe forms",2 Days Ago,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-pune-7-to-12-years-171224915333,12.218579234972678,0.19549726775956283,9.5,0.38,pune,0,0,1,0,0,0,0,0,0,0
Full Stack Engineer,Accenture,3-8 Yrs,Not disclosed,Pune,Project Role :Full Stack EngineerProject Role Description :Responsible for developing a...,"css,html,rest,javascript,angular,continuous integration,web services,bootstrap",2 Days Ago,https://www.naukri.com/job-listings-full-stack-engineer-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224915331,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Engineer,Deutsche Bank,2-3 Yrs,Not disclosed,Pune,Workday CertificationJob Summary: As a Workday Associate with 2-3 years of hands-on exp...,"workday functional,workday,troubleshooting,advanced statistical,core hcm,workday integration,software testing,web services",2 Days Ago,https://www.naukri.com/job-listings-engineer-deutsche-bank-ag-pune-2-to-3-years-171224915219,12.218579234972678,0.19549726775956283,2.5,0.1,pune,0,0,1,0,0,0,0,0,0,0
"Solution Architect, VP",Deutsche Bank,5-10 Yrs,Not disclosed,Pune,Cloud Certifications for GCP (Preferred) or AWS or AzureExperience in distributed syste...,"oracle,cloud platforms,helm,cloud architecture,devops,kubernetes,github,python",2 Days Ago,https://www.naukri.com/job-listings-solution-architect-vp-deutsche-bank-ag-pune-5-to-10-years-171224915215,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
"ITAO, AVP",Deutsche Bank,3-8 Yrs,Not disclosed,Pune,Minimum 3 years experience in a in a similar roleYour Skills and Experience Experience ...,"confluence,bitbucket,software development life cycle,linux,hp alm,artifactory,kubernetes,cloud technologies",2 Days Ago,https://www.naukri.com/job-listings-itao-avp-deutsche-bank-ag-pune-3-to-8-years-171224915199,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
SAP Marketing Emarsys Cloud Consultant,Infosys,3-5 Yrs,Not disclosed,Pune,Preferred Skills: Technology->SAP Functional->SAP C4HANA->SAP Marketing Cloud Education...,"sap,marketing,marketing analytics,sap cloud,marketing cloud,odata services,adobe forms,sap sd",2 Days Ago,https://www.naukri.com/job-listings-sap-marketing-emarsys-cloud-consultant-infosys-limited-pune-3-to-5-years-171224915176,12.218579234972678,0.19549726775956283,4.0,0.16,pune,0,0,1,0,0,0,0,0,0,0
Application Lead,Accenture,5-10 Yrs,Not disclosed,Pune,"Project Role :Application LeadProject Role Description :Lead the effort to design, buil...","java,software engineering,chatbot,azure cognitive services,full stack,css,c++,ssl",2 Days Ago,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224915133,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Software Development Engineer,Accenture,5-10 Yrs,Not disclosed,Pune,Educational Qualification : 15 years full time education. Summary :As a Software Develo...,"software development,salesforce lightning,javascript,git,debugging,rest,visualforce,css",2 Days Ago,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224912438,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,3-8 Yrs,Not disclosed,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","abap programming,sap abap development,debugging,sap hana,sap abap,bdc,sap,data dictionary",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224912430,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,3-8 Yrs,Not disclosed,Pune,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years full ...,"html,software development,javascript,agile,mendix,css,bootstrap,jquery",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-3-to-8-years-171224912414,12.218579234972678,0.19549726775956283,5.5,0.22,pune,0,0,1,0,0,0,0,0,0,0
Application Lead,Accenture,7-12 Yrs,Not disclosed,Pune,"Project Role :Application LeadProject Role Description :Lead the effort to design, buil...","information technology,networking concepts,gcp,aws,protocols,c#,kubernetes,python",2 Days Ago,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-pune-7-to-12-years-171224912387,12.218579234972678,0.19549726775956283,9.5,0.38,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,3-5 Yrs,Not disclosed,Pune,"Project Role Description : Design, build and configure applications to meet business pr...","data services,microsoft azure,application development,software development methodologies,aws,c#,python,oracle",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-3-to-5-years-171224912378,12.218579234972678,0.19549726775956283,4.0,0.16,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,6-11 Yrs,Not disclosed,Pune,"Project Role Description : Design, build and configure applications to meet business pr...","net fullstack,ssi,debugging,application development,.net,css,jquery,sql",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-6-to-11-years-171224912366,12.218579234972678,0.19549726775956283,8.5,0.34,pune,0,0,1,0,0,0,0,0,0,0
Application Developer,Accenture,3-5 Yrs,Not disclosed,Pune,"Project Role Description : Design, build and configure applications to meet business pr...","data services,information technology,microsoft azure,data modeling,data warehousing concepts,azure databricks,python,azure synapse",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-3-to-5-years-171224912359,12.218579234972678,0.19549726775956283,4.0,0.16,pune,0,0,1,0,0,0,0,0,0,0
Application Lead,Accenture,5-10 Yrs,Not disclosed,Pune,Minimum 5 year(s) of experience is required. Educational Qualification : 15 years full ...,"net fullstack,css,microsoft azure,web development,agile,c#,asp.net mvc,oracle",2 Days Ago,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-pune-5-to-10-years-171224912336,12.218579234972678,0.19549726775956283,7.5,0.3,pune,0,0,1,0,0,0,0,0,0,0
Application Designer,Accenture,5-9 Yrs,Not disclosed,Pune,Project Role :Application DesignerProject Role Description :Assist in defining requirem...,"software development life cycle,java,j2ee,spring application framework,agile methodology,rest,software development,web services",2 Days Ago,https://www.naukri.com/job-listings-application-designer-accenture-solutions-pvt-ltd-pune-5-to-9-years-171224912282,12.218579234972678,0.19549726775956283,7.0,0.28,pune,0,0,1,0,0,0,0,0,0,0
