Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
Senior Manager_Delivery Manager_Data & Analytics_Advisory,Pricewaterhouse Coopers Private Limited,10-12 Yrs,Not disclosed,Bengaluru,"Degrees / Field of Study required Master of Engineering, Bachelor of Engineering . Pref...","Data analysis, Data management, Project management, Process improvement, Analytical, Data collection, Data quality, Business intelligence",1 Day Ago,https://www.naukri.com/job-listings-senior-manager-delivery-manager-data-analytics-advisory-pricewaterhouse-coopers-private-limited-bengaluru-10-to-12-years-181224505763
Senior Associate - PowerApps Developer -Ms Dynamics- Advisory,Pricewaterhouse Coopers Private Limited,4-6 Yrs,Not disclosed,Bengaluru,". *Preferred skill sets . Azure App Services, Azure Active Directory, Azure API Managem...","InfoPath, Data migration, jQuery, Google Analytics, Data management, Consulting, Active directory, Agile",1 Day Ago,https://www.naukri.com/job-listings-senior-associate-powerapps-developer-ms-dynamics-advisory-pricewaterhouse-coopers-private-limited-bengaluru-4-to-6-years-181224505760
GCP Senior Data Engineer - Senior Associate,Pricewaterhouse Coopers Private Limited,5-6 Yrs,Not disclosed,Bengaluru,Minimum Degree Required . Bachelors degree in Engineering . Certification(s) Preferre...,"Data analysis, Automation, Data management, Data modeling, Analytical, Data collection, Data mining, Information technology",1 Day Ago,https://www.naukri.com/job-listings-gcp-senior-data-engineer-senior-associate-pricewaterhouse-coopers-private-limited-bengaluru-5-to-6-years-181224505683
Manager - BC/NAV-MS Dynamics-Advisory,Pricewaterhouse Coopers Private Limited,7-10 Yrs,Not disclosed,Bengaluru,Responsibilities A minimum of 710 years of experience in Microsoft Dynamics ...,"SAP, Data management, Development Manager, Technical design, Coding, Analytical, Relationship building, Consulting",1 Day Ago,https://www.naukri.com/job-listings-manager-bc-nav-ms-dynamics-advisory-pricewaterhouse-coopers-private-limited-bengaluru-7-to-10-years-181224505535
Guidewire Integ Developer -Associate 2,Pricewaterhouse Coopers Private Limited,2-5 Yrs,Not disclosed,Bengaluru,Insurance Specialism Guidewire Management Level Associate & Summary A c...,"Leadership development, Tomcat, Web services, Performance management, JBoss, XML, Analytical, Asset management",1 Day Ago,https://www.naukri.com/job-listings-guidewire-integ-developer-associate-2-pricewaterhouse-coopers-private-limited-bengaluru-2-to-5-years-181224505530
MANAGER_WORKDAY Integration_Enterprises apps,Pricewaterhouse Coopers Private Limited,9-12 Yrs,Not disclosed,Hyderabad,"Degrees / Field of Study required Master of Business Administration, Bachelor of Techno...","Payroll, ERP, Automation, Business transformation, Coding, Process improvement, Analytical, Consulting",1 Day Ago,https://www.naukri.com/job-listings-manager-workday-integration-enterprises-apps-pricewaterhouse-coopers-private-limited-hyderabad-9-to-12-years-181224505524
Manager_D365 CRM Technical_MS Dynamics_Advisory,Pricewaterhouse Coopers Private Limited,7-10 Yrs,Not disclosed,Bengaluru,Responsibilities Microsoft Dynamics 365 Online Application (Sales or Service)...,"Data migration, GIT, html5, Consulting, Javascript, Microsoft Dynamics, Middleware, Operations",1 Day Ago,https://www.naukri.com/job-listings-manager-d365-crm-technical-ms-dynamics-advisory-pricewaterhouse-coopers-private-limited-bengaluru-7-to-10-years-181224505508
Manager_AWS Devops Engineer_Advisory Corporate_Advisory,Pricewaterhouse Coopers Private Limited,7-10 Yrs,Not disclosed,Bengaluru,"Preferred skill sets Spark, Pyspark, AWS . Years of experience required 7-10 . Educatio...","Assurance, Business transformation, Data management, Analytical, Agile, Corporate advisory, Data analytics, Business intelligence",1 Day Ago,https://www.naukri.com/job-listings-manager-aws-devops-engineer-advisory-corporate-advisory-pricewaterhouse-coopers-private-limited-bengaluru-7-to-10-years-181224505491
Senior Associate_ Microsoft Integration Specialist .NET Developer,Pricewaterhouse Coopers Private Limited,4-7 Yrs,Not disclosed,Bengaluru,"Good to Have Development experience in cloud Azure or AWS PaaS like Function App, Web A...","Application design, SAP, Data management, Architecture, Enterprise architecture, PAAS, Manager Technology, Business intelligence",1 Day Ago,https://www.naukri.com/job-listings-senior-associate-microsoft-integration-specialist-net-developer-pricewaterhouse-coopers-private-limited-bengaluru-4-to-7-years-181224505484
Senior Associate - Java Developer-Risk Analytics - Advisory,Pricewaterhouse Coopers Private Limited,4-8 Yrs,Not disclosed,Bengaluru,"Exposure to OpenShift, Docker + Kubernetes will be a plus . Good understanding of NFRs ...","Manager Internal Audit, Assurance, Financial statements, Data analysis, Financial reporting, Corporate governance, Analytical, MongoDB",1 Day Ago,https://www.naukri.com/job-listings-senior-associate-java-developer-risk-analytics-advisory-pricewaterhouse-coopers-private-limited-bengaluru-4-to-8-years-181224505399
