Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
Infogain India is hiring For C# API Automation (SDET),Infogain,3-5 Yrs,Not disclosed,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","3+ years in API automation testing and development, strong skills in Selenium and C#|Co...","SDET, Integration testing, Automation Testing, API Development, C#, NUnit, Azure Cloud, Cloud",Few Hours Ago,https://www.naukri.com/job-listings-infogain-india-is-hiring-for-c-api-automation-sdet-infogain-pune-bengaluru-mumbai-all-areas-3-to-5-years-171224013415
Director - Senior India Coverage Banker,Deutsche Bank,12-14 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru","Education. Chartered Accountant, CFA or an MBA from a globally recognized institute pre...","client relationship management, Credit Risk Management, Capital Market transactions, Cash Management, Risk Management, Credit, Capital market, Code Coverage",7 Days Ago,https://www.naukri.com/job-listings-director-senior-india-coverage-banker-deutsche-bank-ag-mumbai-pune-bengaluru-12-to-14-years-121224906528
Oracle Fusion SCM Functional Lead,Oracle,8-13 Yrs,18-33 Lacs PA (Including Variable: 15.0%),"Hybrid - Kolkata, Mumbai, Gandhinagar, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Thiruvananthapuram",Bachelor's in Engineering or MBA with 5-10 years in EBS/Cloud implementations; SCM func...,"Fusion Scm, Scm Cloud, MFG, Order To Cash, Planning, OM, Functional, Cloud",3 Days Ago,https://www.naukri.com/job-listings-oracle-fusion-scm-functional-lead-oracle-kolkata-mumbai-gandhinagar-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-thiruvananthapuram-8-to-13-years-270723006137
R&R FS -Java Developer-Associate,Pricewaterhouse Coopers Private Limited,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad, Gurugram, Bengaluru","Banking and Capital Markets Specialism Data, Analytics & AI Management Le...","Data analysis, Business analysis, Data modeling, Analytical, Consulting, Data collection, Risk management, Data mining",1 Day Ago,https://www.naukri.com/job-listings-r-r-fs-java-developer-associate-pricewaterhouse-coopers-private-limited-kolkata-mumbai-hyderabad-gurugram-bengaluru-3-to-5-years-181224505818
GN - Strategy - MC - T&O - Change Management - Consultant,Accenture,4-8 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",Qualifications . Bring your best skills forward to excel in the role: MBA / Masters deg...,"Change Management, SuccessFactors, Impact Analysis, Peoplesoft, taleo, Change, Consulting, Impact",1 Day Ago,https://www.naukri.com/job-listings-gn-strategy-mc-t-o-change-management-consultant-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-4-to-8-years-181224919028
Autosar Security VIP : Mumbai / Bangalore Location : 8 To 12Yrs,Capgemini,8-12 Yrs,25-37.5 Lacs PA,"Hybrid - Bengaluru, Mumbai (All Areas)",Senior Engineer - AUTOSAR Security VIP : . 1) 10+ Years of experience in Automotive dom...,"BSW configuration, AUTOSAR, Secure Diagnostics, Secure flashing, Automotive domain, C++, HSM, C",1 Day Ago,https://www.naukri.com/job-listings-autosar-security-vip-mumbai-bangalore-location-8-to-12yrs-capgemini-bengaluru-mumbai-all-areas-8-to-12-years-181224011225
Marine Numerical Modelling Specialist (Location - Flexible),Jacobs,5-10 Yrs,Not disclosed,"Hybrid - Kolkata, Delhi / NCR, Mumbai (All Areas)","Jacobs is a global provider of technical, professional, and scientific services includ...","Marine, Maritime, Port, Numerical, Modeling, Flexible",Few Hours Ago,https://www.naukri.com/job-listings-marine-numerical-modelling-specialist-location-flexible-jacobs-kolkata-delhi-ncr-mumbai-all-areas-5-to-10-years-191224011361
Consultant - Assurance - FS - ASU - TR - Technology Risk,EY,4-6 Yrs,Not disclosed,Mumbai,"Qualification . CA, BE, Btech, MCA, BCA, B.com, M.com with 4-6 years of experience . CI...","Assurance, Data migration, SAP, US GAAP, Cisa, External audit, technology risk, Manager Technology",1 Day Ago,https://www.naukri.com/job-listings-consultant-assurance-fs-asu-tr-technology-risk-ernst-young-mumbai-4-to-6-years-181224505764
Pyspark Developer,Cognizant,4-8 Yrs,Not disclosed,"Hyderabad, Pune, Bangalore Rural","Develop high-quality code in Python using Sparks APIs (e.g., Dataframe, Dataset) and Hi...","Pyspark, Hive, Spark, Development",Few Hours Ago,https://www.naukri.com/job-listings-pyspark-developer-cognizant-hyderabad-pune-bangalore-rural-4-to-8-years-191224011149
"Java Developer - Bangalore, Pune, Hyderabad, Nagpur",Tech Mahindra,5-10 Yrs,6-16 Lacs PA,"Hybrid - Hyderabad, Pune, Bangalore Rural","Skills: Java 1.8, Microservices, Spring bootLocation: BLR, Pune, HYD, NagpurExperience:...","Java 1.8, Springboot, Microservices, Bootstrap, J2Ee, Spring Boot, Java, Development",Few Hours Ago,https://www.naukri.com/job-listings-java-developer-bangalore-pune-hyderabad-nagpur-tech-mahindra-hyderabad-pune-bangalore-rural-5-to-10-years-191224009348
R&R FS -Java Developer-Manager,Pricewaterhouse Coopers Private Limited,9-13 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad, Gurugram, Bengaluru",Experience . 9-13 years of experience in Java Development Extensive Java full stack pro...,"Automation, Data analysis, MySQL, Consulting, Agile, Data structures, Stored procedures, Oracle",1 Day Ago,https://www.naukri.com/job-listings-r-r-fs-java-developer-manager-pricewaterhouse-coopers-private-limited-kolkata-mumbai-hyderabad-gurugram-bengaluru-9-to-13-years-181224505434
GN- Comms & Media - Media - Consultant,Accenture,1-6 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",Certification profession in PSM / CSM/SAFe / ICP-ACCExperience in the role of Functiona...,"Kanban, Confluence, Content Planning, Scrum, SAFe, Rally, Jira, Consulting",1 Day Ago,https://www.naukri.com/job-listings-gn-comms-media-media-consultant-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-1-to-6-years-181224907464
GN-High Tech-SAP Platforms-07 - Professional,Accenture,7-12 Yrs,Not disclosed,Mumbai,MBA from Tier 1 and 2 business school . 7 - 15 years of SAP S4 HANA MM / SD/PP / QM/ eW...,"project management, sap, sd, ibp, ewm, management consulting, emerging technologies, subject matter expertise",1 Day Ago,https://www.naukri.com/job-listings-gn-high-tech-sap-platforms-07-professional-accenture-solutions-pvt-ltd-mumbai-7-to-12-years-181224918221
Manager - Assurance - FS - ASU - TR,EY,5-8 Yrs,Not disclosed,Mumbai,". - Risk and control assessments considering emerging technologies such as cloud, RPA, ...","Data migration, SAP, US GAAP, External audit, Consulting, Data quality, Asset management, IFRS",1 Day Ago,https://www.naukri.com/job-listings-manager-assurance-fs-asu-tr-ernst-young-mumbai-5-to-8-years-181224504500
GN - StrategyMC - Direct MaterialsConsultant,Accenture,2-5 Yrs,Not disclosed,Mumbai,BE or BTech from Tier 1 engineering institutes and MBA from Tier 1 B-school. 2-5 years ...,"presentation skills, power bi, alteryx, supply chain management, consumer goods, management consulting, hi, accounts payable",2 Days Ago,https://www.naukri.com/job-listings-gn-strategymc-direct-materialsconsultant-accenture-solutions-pvt-ltd-mumbai-2-to-5-years-171224915922
HR Apprentice,Deutsche Bank,0-1 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru",Role DescriptionAn Apprentice is an employee on a formal apprenticeship programme. Work...,"recruitment, talent management, screening, sourcing, Management",1 Day Ago,https://www.naukri.com/job-listings-hr-apprentice-deutsche-bank-ag-mumbai-pune-bengaluru-0-to-1-years-181224907480
GN_SAP Platform _ Products - Solution Architect_ CL6,Accenture,10-14 Yrs,Not disclosed,"Mumbai, Pune, Gurugram",From delivery perspective - candidate must have experience of executing and managing co...,"presentation skills, sales, sap platform, sap s hana, solution design, erp, sap, supply chain",7 Days Ago,https://www.naukri.com/job-listings-gn-sap-platform-products-solution-architect-cl6-accenture-solutions-pvt-ltd-mumbai-pune-gurugram-10-to-14-years-111224921984
GN_SAP Platform _ Resources - Solution Architect_ CL6,Accenture,10-15 Yrs,Not disclosed,"Mumbai, Pune, Gurugram","S&C GN SAP Platform Manager, Senior ManagerFind endless opportunities to solve our clie...","presentation skills, sales, sap platform, sap s hana, solution design, erp, sap, supply chain",7 Days Ago,https://www.naukri.com/job-listings-gn-sap-platform-resources-solution-architect-cl6-accenture-solutions-pvt-ltd-mumbai-pune-gurugram-10-to-15-years-111224921656
BITs Intern,Deutsche Bank,0-1 Yrs,Not disclosed,"Mumbai, Pune",. We build talented and diverse teams to drive business results and encourage our peopl...,"Financial modeling, relationship building, IT strategy, Finance, Financial modelling, Building, Relationship, Modeling",1 Day Ago,https://www.naukri.com/job-listings-bits-intern-deutsche-bank-ag-mumbai-pune-0-to-1-years-181224907487
Spark Scala Developer,Cognizant,4-6 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bangalore Rural",Develop scalable and efficient algorithms for processing large datasets using Scala pro...,"SCALA, Spark, Spark Streaming, Development, Streams, Streaming",Few Hours Ago,https://www.naukri.com/job-listings-spark-scala-developer-cognizant-hyderabad-pune-bangalore-rural-4-to-6-years-191224011110
Tech Mahindra Hiring Delivery sales/Delivery Business operation,Tech Mahindra,3-8 Yrs,10-16 Lacs PA,"Hyderabad, Pune, Bengaluru",Preferred candidate profile . .,"Delivery Sales Operations Management, Collate and compile delivery operational metrics, Operational Efficiency, Forecasting and Planning, Data Analysis and Reporting, Team Support and Training, working closely with BU heads, Performance Monitoring",1 Day Ago,https://www.naukri.com/job-listings-tech-mahindra-hiring-delivery-sales-delivery-business-operation-tech-mahindra-hyderabad-pune-bengaluru-3-to-8-years-181224017426
Assistant Manager (QM Electricals & Instrumentation),KSB Pumps Limited,8-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Preferably certified Auditor for IMS - QMS / EMS / OH&S . Knowledge / skills required P...,"GRN, SAP QM module, Analytical, Inspection, Instrumentation, HRD, New product development, IMS",30+ Days Ago,https://www.naukri.com/job-listings-assistant-manager-qm-electricals-instrumentation-ksb-pumps-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-8-to-12-years-130723501546
AX/D365 SCM (Supply Chain Management) Functional Consultant,Wipro,8-13 Yrs,20-35 Lacs PA,"Hybrid - Pune, Bengaluru, Delhi / NCR","AX Certification is a plusGood experience in requirement gathering, workshop, presentat...","D365, Supply Chain Management, SCM, Dynamics 365 Finance & Operations, Microsoft Dynamics, Shipping, Warehouse Management, Logistics",1 Day Ago,https://www.naukri.com/job-listings-ax-d365-scm-supply-chain-management-functional-consultant-wipro-pune-bengaluru-delhi-ncr-8-to-13-years-181224015727
Senior Software Engineer - Middleware :middleware development,Capgemini,5-7 Yrs,10-20 Lacs PA,"Hybrid - Pune, Bengaluru","Working experience in middleware development and Prior experience in Qualcomm SOC, Expe...","C/C++, Linux System Programming, Embedded Development, Automotive, System Programming, GIT, Linux, Gerrit",1 Day Ago,https://www.naukri.com/job-listings-senior-software-engineer-middleware-middleware-development-capgemini-pune-bengaluru-5-to-7-years-181224011389
BSP Developer : 9to 12Years in Pune / Bangalore,Capgemini,9-12 Yrs,17-32 Lacs PA,"Pune, Bengaluru","Experience working with different embedded microprocessor based on Qualcomm, TI, NXP, N...","BSP Firmware Engineer, Linux Kernel Programming, iMX chipset, Qualcomm Chipset, Linux Device Drivers, Embedded C++, BSP Developer, Embedded C",1 Day Ago,https://www.naukri.com/job-listings-bsp-developer-9to-12years-in-pune-bangalore-capgemini-pune-bengaluru-9-to-12-years-181224011073
"Security-SOC :C/C++, Linux, Secured boot, Secure logging, OpenSSL, SEL",Capgemini,7-10 Yrs,Not disclosed,"Hybrid - Pune, Bengaluru",Preferred candidate profile . Years experience in Embedded SW Development ( C / C++). ...,"Linux, security features, Openssl, Embedded Software Development, SOCs based platform, Selinux, Secured boot, Secure logging",1 Day Ago,https://www.naukri.com/job-listings-security-soc-c-c-linux-secured-boot-secure-logging-openssl-sel-capgemini-pune-bengaluru-7-to-10-years-181224010926
"Audio Technical Lead Engineer : 13+Years in Bangalore, Pune",Capgemini,13-18 Yrs,35-70 Lacs PA,"Hybrid - Pune, Bengaluru",JD: Technical Lead Engineer Audio : Bangalore/ Pune 13+ years of experience in Embedd...,"Audio, IVI, Embedded SW development, Embedded C/C++, Audio framework, routing, Automotive Embedded Systems, TDM configuration",1 Day Ago,https://www.naukri.com/job-listings-audio-technical-lead-engineer-13-years-in-bangalore-pune-capgemini-pune-bengaluru-13-to-18-years-181224010734
Audio Lead :Embedded SW development Automotive infotainment Audio expe,Capgemini,13-18 Yrs,Not disclosed,"Hybrid - Pune, Bengaluru","Prior experience in QCOM SOC, hw bring up, device tree, TDM configuration is a plus. Ex...","DSP, Audio HAL, Audio Drivers, Embedded C/C++, Audio Frameworks, HAL, Alsa, Audio",1 Day Ago,https://www.naukri.com/job-listings-audio-lead-embedded-sw-development-automotive-infotainment-audio-expe-capgemini-pune-bengaluru-13-to-18-years-181224010573
GN - Strategy - MC - CFO EVERP Platforms Senior Manager,Accenture,4-7 Yrs,Not disclosed,Pune,Digital Finance & Enterprise Operating Model - ConsultantFind endless opportunities to ...,"sap, sap ecc, accounting, treasury, finance, management consulting, accounts receivable, accounts payable",1 Day Ago,https://www.naukri.com/job-listings-gn-strategy-mc-cfo-everp-platforms-senior-manager-accenture-solutions-pvt-ltd-pune-4-to-7-years-181224918840
Strategy - MC - SC&O - SC Digital Core S4 (SAP TM)- Consultant,Accenture,4-8 Yrs,Not disclosed,Pune,". MBA or Master s degree in Industrial Engineering, Operations Management, or Supply Ch...","sap, sap transportation management, presentation skills, sap tm, tm, warehouse management, sap sd, logistics",2 Days Ago,https://www.naukri.com/job-listings-strategy-mc-sc-o-sc-digital-core-s4-sap-tm-consultant-accenture-solutions-pvt-ltd-pune-4-to-8-years-171224915962
R&R FS-Reg Reporting- Senior Associate,Pricewaterhouse Coopers Private Limited,4-6 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad, Bengaluru","Summary At PwC, our people in data and analytics focus on leveraging data to drive ...","Data analysis, Automation, Data modeling, Analytical, Consulting, Data collection, Data analytics, Data mining",3 Days Ago,https://www.naukri.com/job-listings-r-r-fs-reg-reporting-senior-associate-pricewaterhouse-coopers-private-limited-kolkata-mumbai-hyderabad-bengaluru-4-to-6-years-161224501186
S&CGN - Tech Strategy & Advisory -Enterprise Architecture-Manager,Accenture,10-15 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru","Masters or bachelors degree in business, computer science, computer engineering, electr...","risk management, SOA, PaaS, SaaS, IaaS, budgeting, S, Management",3 Days Ago,https://www.naukri.com/job-listings-s-cgn-tech-strategy-advisory-enterprise-architecture-manager-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-10-to-15-years-161224902128
S&C GN - T&O - Change Management Senior Manager,Accenture,12-15 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",YOUR EXPERIENCE:Basic Qualifications . MBA / Masters degree Experience in driving behav...,"Change Management, S/4 HANA, SAP S4 HANA, SFDC, Operating model, M&A, Oracle, Office 365",5 Days Ago,https://www.naukri.com/job-listings-s-c-gn-t-o-change-management-senior-manager-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-12-to-15-years-141224906035
S&CGN - Tech Strategy & Advisory -Enterprise Architecture - CP&G,Accenture,10-15 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru","Masters or bachelors degree in business, computer science, computer engineering, electr...","Tech Strategy, Product Development, Siemen Teamcenter, MS Dynamics, BlueYonder, Manufacturing, Shopify, Supply Chain",5 Days Ago,https://www.naukri.com/job-listings-s-cgn-tech-strategy-advisory-enterprise-architecture-cp-g-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-10-to-15-years-141224906033
GN - SONG - Service - Genesys - Analyst,Accenture,2-7 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",MBA from a tier 1 institute A minimum 2 years of experience working with Customer Servi...,"customer service operations, genesys framework, assessment, hybrid cloud, sip, gvp, gsm, genesys",5 Days Ago,https://www.naukri.com/job-listings-gn-song-service-genesys-analyst-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-2-to-7-years-131224921916
Planning Manager,Larsen & Toubro (L&T),9-14 Yrs,Not disclosed,"Noida, Bengaluru, Mumbai (All Areas)","Preparation of a Master Schedule, establishing Project Baseline, continuous Supervision...","Construction Planning, MS Project, Planning, High Rise Building, Site Planning, Project Monitoring, Project Tracking, Scheduling",3 Days Ago,https://www.naukri.com/job-listings-planning-manager-larsen-toubro-l-t-noida-bengaluru-mumbai-all-areas-9-to-14-years-161224005041
GN - SONG - Service - Amazon Connect - Analyst,Accenture,2-7 Yrs,Not disclosed,"Mumbai, Hyderabad, Delhi / NCR",Bachelors degree in related field or equivalent experience Minimum 2-9 years of experie...,"bot, salesforce, api, lex, aws, amazon lex, kinesis, business intelligence",5 Days Ago,https://www.naukri.com/job-listings-gn-song-service-amazon-connect-analyst-accenture-solutions-pvt-ltd-mumbai-hyderabad-delhi-ncr-2-to-7-years-141224904107
GN - SONG - Service - Amazon Connect Analyst,Accenture,2-7 Yrs,Not disclosed,"Mumbai, Bengaluru, Delhi / NCR",Bachelors degree in related field or equivalent experience Minimum 2-9 years of experie...,"bot, salesforce, api, lex, aws, amazon lex, kinesis, business intelligence",5 Days Ago,https://www.naukri.com/job-listings-gn-song-service-amazon-connect-analyst-accenture-solutions-pvt-ltd-mumbai-bengaluru-delhi-ncr-2-to-7-years-141224904106
Senior Consultant - PLSQL/JAVA Support Engineer,Oracle,3-7 Yrs,Not disclosed,"Mumbai, Bengaluru",Banking Consulting NACA which is a part of Americas Region under FSGBU - Consulting del...,"Java, software development, xml, j2ee, weblogic, core banking, oracle sql, javascript",7 Days Ago,https://www.naukri.com/job-listings-senior-consultant-plsql-java-support-engineer-oracle-india-pvt-ltd-mumbai-bengaluru-3-to-7-years-121224911631
S&C Global Network - Strategy - MC - Intelligent Asset Management -11,Accenture,10-12 Yrs,Not disclosed,Mumbai,Responsible for providing functional consulting in HSE / PSM areas and be able to showc...,"EAM, Master Data Management, Operations Management, DNV Synergi, Sphera, Power BI, Enablon, Tableau",3 Days Ago,https://www.naukri.com/job-listings-s-c-global-network-strategy-mc-intelligent-asset-management-11-accenture-solutions-pvt-ltd-mumbai-10-to-12-years-161224902131
Sales/BD -Manager - Pune,KPMG India,14-16 Yrs,Not disclosed,Mumbai,"Bachelor s degree or higher in Information Technology, Engineering, or a related field ...","Solution sales, Domestic sales, adobe analytics, SFDC, GCP, Focus, Consulting, professional services",3 Days Ago,https://www.naukri.com/job-listings-sales-bd-manager-pune-kpmg-india-mumbai-14-to-16-years-161224503553
IMU- Industry X- RES- Senior Manager,Accenture,12-14 Yrs,Not disclosed,Mumbai,Proven experience in successfully leading and managing complex client engagements withi...,"management consulting, machine learning, artificial intelligence, iot, big data, project implementation, manufacturing execution system, manufacturing engineering",5 Days Ago,https://www.naukri.com/job-listings-imu-industry-x-res-senior-manager-accenture-solutions-pvt-ltd-mumbai-12-to-14-years-131224921922
Risk Associate,Deutsche Bank,2-3 Yrs,Not disclosed,Mumbai,The team is also proficient in combining this risk knowledge with best in class automat...,"Python, Market Risk management, VBA, Product Control management, Trading, Tableau, risk analysis, Risk",7 Days Ago,https://www.naukri.com/job-listings-risk-associate-deutsche-bank-ag-mumbai-2-to-3-years-121224909592
GN - SONG - MT - CDP - Manager,Accenture,8-12 Yrs,Not disclosed,Mumbai,Qualifications: Master of Business Administration / Post Graduate Diploma in Management...,"campaign management, digital marketing, google api, ad serving, business development, paid media, partnerships, sales",7 Days Ago,https://www.naukri.com/job-listings-gn-song-mt-cdp-manager-accenture-solutions-pvt-ltd-mumbai-8-to-12-years-121224903792
GN_SAP Platform _ Products - Solution Architect_ CL6,Accenture,12-14 Yrs,Not disclosed,Mumbai,"S&C GN SAP Platform Manager, Senior ManagerFind endless opportunities to solve our clie...","sap, gap analysis, accounting, procurement, rfp, erp, supply chain, program management",7 Days Ago,https://www.naukri.com/job-listings-gn-sap-platform-products-solution-architect-cl6-accenture-solutions-pvt-ltd-mumbai-12-to-14-years-121224903776
System Design & Study Engineer,Hitachi Energy,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",". M Tech, Power Systems and with relevant work Experience of 2-5 years . Good team play...","Procurement, Product management, Automation, Simulation, Project management, Single line diagram, System design, Power electronics",Just Now,https://www.naukri.com/job-listings-system-design-study-engineer-hitachi-energy-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-10-years-191224500726
Data Integration Lead,Hexaware Technologies,6-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","This includes the data models, storage requirements and migration of data from one syst...","Computer science, Data migration, Data modeling, Datastage, Informatica, SSIS, Data mining, Analytics",1 Day Ago,https://www.naukri.com/job-listings-data-integration-lead-hexaware-technologies-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-10-years-181224505457
Data Scientist within Vehicle Engineering,Volvo Financial Services,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Apply advanced statistical methods and machine learning techniques to analyze large d...,"Computer science, Version control, Coding, Construction equipment, Machine learning, Automotive, Analytics, Financial services",1 Day Ago,https://www.naukri.com/job-listings-data-scientist-within-vehicle-engineering-volvo-asset-finance-india-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-181224502708
Smart Factory & Cyber Security Manager,Schneider Electric,6-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Analyse Andon and SIM Escalation with 8D Methodology and 5 Why Analysis with CAPA Actio...,"Supply chain, Mechatronics, ERP, cyber security, Shop floor, Management, Oracle, Continuous improvement",2 Days Ago,https://www.naukri.com/job-listings-smart-factory-cyber-security-manager-schneider-electric-india-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-8-years-171224501934
SWET- Software Engineer - Bangalore,Photon,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",The Skills that are Key to this role . Technical- Must Have skills Experience working o...,"Automation, Linux, Networking, Production support, Information security, Shell scripting, Agile, PLSQL",15 Days Ago,https://www.naukri.com/job-listings-swet-software-engineer-bangalore-photon-infotech-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-041224501660
CN - Strategy - MC - SC&O - BPM Consultant,Accenture,4-9 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru",Process Mining - Data Engineering Consulting Practitioner Find endless opportunities to...,"Process Mining, Data Science, MYSQL, data engineering, data analyst, SQL, Data, SC",1 Day Ago,https://www.naukri.com/job-listings-cn-strategy-mc-sc-o-bpm-consultant-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-4-to-9-years-181224918781
Application Developer,Accenture,15-20 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru",Must have skills : AWS ArchitectureMinimum . 15 year(s) of experience is requiredIdenti...,"software development, java, devops, software engineering, aws, python, css, c++",2 Days Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-15-to-20-years-171224915654
Technical Specialist,Citiustech,10-15 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru",BE / BTech / MCA / B.CA / B.SC.(IT) . Should have experience as Data Engineer . Should...,"Automation, Coding, Datastage, Performance testing, Agile, Data structures, Application development, SSIS",30+ Days Ago,https://www.naukri.com/job-listings-technical-specialist-citiustech-mumbai-pune-bengaluru-10-to-15-years-301122502226
Azure + .Net || Infogain || Hybrid Work,Infogain,3-5 Yrs,Not disclosed,"Hybrid - Noida, Pune, Mumbai (All Areas)",Current and Preferred Location: . Experience : 3 to 5 years .,"azure sql, oracle, Azure Functions, ETL, Asp.Net, C#, Event Hub, Blob Storage",7 Days Ago,https://www.naukri.com/job-listings-azure-net-infogain-hybrid-work-infogain-noida-pune-mumbai-all-areas-3-to-5-years-061224017493
QA Performance Automation Tester,Persistent,6-10 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru",6-10 years experience in QA Performance Testing with expertise in Python and JMeter|Des...,"Python, Performance Testing, JMeter, Automation testing, Quality assurance, Automation, Performance, Software testing",13 Days Ago,https://www.naukri.com/job-listings-qa-performance-automation-tester-persistent-mumbai-pune-bengaluru-6-to-10-years-061224009960
Technical Lead - Fullstack .Net - Oracle CLoud Infrastructure,Citiustech,5-8 Yrs,10-19 Lacs PA,"Hybrid - Pune, Chennai, Mumbai (All Areas)","5-7 years experience in FullStack .NET with strong skills in C#, .NET Core, and Oracle ...","C#, oracle cloud infrastructure, Fullstack.Net, Web api, Oracle Cloud, .net core, SQL, Technical",16 Days Ago,https://www.naukri.com/job-listings-technical-lead-fullstack-net-oracle-cloud-infrastructure-citiustech-pune-chennai-mumbai-all-areas-5-to-8-years-031224008549
Application Specialist - Biopharma,Avantor,5-10 Yrs,Not disclosed,"Mumbai, Pune","He / She needs to bring a balance of strategic direction, daily management, and applica...","Application support, customer engagement, Biopharma, Chromatography, customer support, Engagement, Application",1 Day Ago,https://www.naukri.com/job-listings-application-specialist-biopharma-avantor-performance-materials-india-private-limited-mumbai-pune-5-to-10-years-181224910455
Job Opportunity in Dmart For Store Manager- Operations Role,DMart,7-12 Yrs,15-18 Lacs PA,"Pune, Ahmedabad, Mumbai (All Areas)",• Day to Day Smooth Store Operations• Timely Opening of Store & Adherence to all the pr...,"Manpower Management, Store Operations, Inventory Management, Customer Handling, Floor Management, Wastage Control, Management, Store management",1 Day Ago,https://www.naukri.com/job-listings-opportunity-in-dmart-for-store-manager-operations-role-dmart-pune-ahmedabad-mumbai-all-areas-7-to-12-years-181224016979
Sr Associate,HINDALCO INDUSTRIES LIMITED,0-5 Yrs,Not disclosed,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad","Diploma, Bachelor Of Engineering","Quality standards, QC, Compliance, Quality check, External audit, Inspection, Inspector, Windows",2 Days Ago,https://www.naukri.com/job-listings-sr-associate-hindalco-industries-limited-mumbai-nagpur-thane-nashik-pune-aurangabad-0-to-5-years-171224501779
Manager/ Asst Manager- Mechanical Design,Wipro PARI,9-13 Yrs,Not disclosed,"Hyderabad, Pune, Bengaluru",*Candidates from Automation / Heavy Machinery background would only be preferredThe can...,"SPM, Power Train, Gantry, Material Handling Equipments, Conveyor Design, Assembly Line, Management, Conveyors",3 Days Ago,https://www.naukri.com/job-listings-manager-asst-manager-mechanical-design-wipro-pari-hyderabad-pune-bengaluru-9-to-13-years-161224011577
Manager/ Asst Manager- Mechanical Design,Wipro PARI,8-13 Yrs,7-16 Lacs PA,"Hyderabad, Pune, Bengaluru",*Candidates from Automation / Heavy Machinery background would only be preferredThe can...,"SPM, Power Train, Gantry, Material Handling Equipments, Conveyor Design, Assembly Line, Design, Mechanical",3 Days Ago,https://www.naukri.com/job-listings-manager-asst-manager-mechanical-design-wipro-pari-hyderabad-pune-bengaluru-8-to-13-years-161224010445
Teradata Developer,Cognizant,6-9 Yrs,Not disclosed,"Hyderabad, Pune, Bangalore Rural","Develop stored procedures, functions, triggers, and scripts to support application func...","Teradata, Teradata SQL, Teradata developer, Development, SQL",3 Days Ago,https://www.naukri.com/job-listings-teradata-developer-cognizant-hyderabad-pune-bangalore-rural-6-to-9-years-161224001623
